month,origin_state,record_type,destination_state,weighted_transition_count,origin_mass,transition_probability,metric_name,metric_value
2019-01,occ22_06,matrix,occ22_21,4488.3057,1904857.0385,0.0023562428094521803,,
2019-01,occ22_06,matrix,occ22_22,4619.550499999999,1904857.0385,0.0024251428882231044,,
2019-01,occ22_06,matrix,unemployed,9874.9731,1904857.0385,0.005184101956426164,,
2019-01,occ22_06,summary,,,,,nilf_entry_rate,0.014707551503214816
2019-01,occ22_06,summary,,,,,occ_switch_rate,0.05288848609832301
2019-01,occ22_06,summary,,,,,retention_rate,0.927219860442036
2019-01,occ22_06,summary,,,,,unemployment_entry_rate,0.005184101956426164
2019-01,occ22_07,matrix,nilf,18882.7517,1339704.2134999998,0.014094716960446436,,
2019-01,occ22_07,matrix,occ22_01,24270.2193,1339704.2134999998,0.018116102834814293,,
2019-01,occ22_07,matrix,occ22_02,3604.5877,1339704.2134999998,0.0026905847303286103,,
2019-01,occ22_07,matrix,occ22_07,1256196.6305,1339704.2134999998,0.937667149092683,,
2019-01,occ22_07,matrix,occ22_10,2994.5834,1339704.2134999998,0.0022352571334956096,,
2019-01,occ22_07,matrix,occ22_11,4679.2789,1339704.2134999998,0.003492770159896195,,
2019-01,occ22_07,matrix,occ22_12,7308.6921,1339704.2134999998,0.005455452051543466,,
2019-01,occ22_07,matrix,occ22_14,471.6263,1339704.2134999998,0.00035203763282035843,,
2019-01,occ22_07,matrix,occ22_16,7356.323200000001,1339704.2134999998,0.005491005496490515,,
2019-01,occ22_07,matrix,occ22_19,4091.3053,1339704.2134999998,0.003053887013844195,,
2019-01,occ22_07,matrix,occ22_21,4037.8142,1339704.2134999998,0.0030139594690466354,,
2019-01,occ22_07,matrix,unemployed,5810.400900000001,1339704.2134999998,0.0043370774245907835,,
2019-01,occ22_07,summary,,,,,nilf_entry_rate,0.014094716960446436
2019-01,occ22_07,summary,,,,,occ_switch_rate,0.04390105652227988
2019-01,occ22_07,summary,,,,,retention_rate,0.937667149092683
2019-01,occ22_07,summary,,,,,unemployment_entry_rate,0.0043370774245907835
2019-01,occ22_08,matrix,nilf,155176.2916,6850832.2433,0.02265072126846484,,
2019-01,occ22_08,matrix,occ22_01,18993.8718,6850832.2433,0.0027724911551550093,,
2019-01,occ22_08,matrix,occ22_02,8044.4438,6850832.2433,0.0011742286943118964,,
2019-01,occ22_08,matrix,occ22_03,12326.2271,6850832.2433,0.00179923061348566,,
2019-01,occ22_08,matrix,occ22_04,14631.3485,6850832.2433,0.002135703806542514,,
2019-01,occ22_08,matrix,occ22_05,4683.1285,6850832.2433,0.0006835853417050201,,
2019-01,occ22_08,matrix,occ22_06,43874.3895,6850832.2433,0.006404242279163735,,
2019-01,occ22_08,matrix,occ22_07,12434.7812,6850832.2433,0.001815076002212871,,
2019-01,occ22_08,matrix,occ22_08,6430528.7078,6850832.2433,0.9386492734643955,,
2019-01,occ22_08,matrix,occ22_09,3995.1457,6850832.2433,0.0005831620974089953,,
2019-01,occ22_08,matrix,occ22_10,38682.8232,6850832.2433,0.005646441457945662,,
2019-01,occ22_08,matrix,occ22_11,3603.6127,6850832.2433,0.0005260109388205022,,
2019-01,occ22_08,matrix,occ22_13,14036.0194,6850832.2433,0.0020488050066803185,,
2019-01,occ22_08,matrix,occ22_15,7523.9135,6850832.2433,0.0010982481007848735,,
2019-01,occ22_08,matrix,occ22_16,13888.131,6850832.2433,0.00202721808194652,,
2019-01,occ22_08,matrix,occ22_17,22230.0517,6850832.2433,0.0032448687853567893,,
2019-01,occ22_08,matrix,occ22_18,3211.8839,6850832.2433,0.000468831199762798,,
2019-01,occ22_08,matrix,occ22_19,6510.2414,6850832.2433,0.0009502847491802047,,
2019-01,occ22_08,matrix,occ22_21,6083.659600000001,6850832.2433,0.0008880175990223258,,
2019-01,occ22_08,matrix,occ22_22,6487.909799999999,6850832.2433,0.0009470250576264026,,
2019-01,occ22_08,matrix,unemployed,23885.6616,6850832.2433,0.00348653430002753,,
2019-01,occ22_08,summary,,,,,nilf_entry_rate,0.02265072126846484
2019-01,occ22_08,summary,,,,,occ_switch_rate,0.035213470967112095
2019-01,occ22_08,summary,,,,,retention_rate,0.9386492734643955
2019-01,occ22_08,summary,,,,,unemployment_entry_rate,0.00348653430002753
2019-01,occ22_09,matrix,nilf,83844.4117,2251658.3973000003,0.037236737064795966,,
2019-01,occ22_09,matrix,occ22_01,11746.597,2251658.3973000003,0.005216864607031658,,
2019-01,occ22_09,matrix,occ22_02,16993.3371,2251658.3973000003,0.007547031610290879,,
2019-01,occ22_09,matrix,occ22_03,13667.0011,2251658.3973000003,0.0060697489087990966,,
2019-01,occ22_09,matrix,occ22_07,740.736,2251658.3973000003,0.00032897352497529304,,
2019-01,occ22_09,matrix,occ22_08,7551.894,2251658.3973000003,0.0033539252708384175,,
2019-01,occ22_09,matrix,occ22_09,2050641.7912,2251658.3973000003,0.9107250876327233,,
2019-01,occ22_09,matrix,occ22_10,3336.7308,2251658.3973000003,0.0014818992099339436,,
2019-01,occ22_09,matrix,occ22_14,3399.348,2251658.3973000003,0.0015097085792748193,,
2019-01,occ22_09,matrix,occ22_15,3308.5002,2251658.3973000003,0.001469361517700587,,
2019-01,occ22_09,matrix,occ22_16,15177.8691,2251658.3973000003,0.006740751225052622,,
2019-01,occ22_09,matrix,occ22_17,14016.4537,2251658.3973000003,0.0062249467844711056,,
2019-01,occ22_09,matrix,occ22_20,7095.4436000000005,2251658.3973000003,0.003151207842409959,,
2019-01,occ22_09,matrix,occ22_21,2646.3923,2251658.3973000003,0.0011753080765596288,,
2019-01,occ22_09,matrix,occ22_22,1604.1167,2251658.3973000003,0.0007124156585757068,,
2019-01,occ22_09,matrix,unemployed,15887.7748,2251658.3973000003,0.007056032486566916,,
2019-01,occ22_09,summary,,,,,nilf_entry_rate,0.037236737064795966
2019-01,occ22_09,summary,,,,,occ_switch_rate,0.04498214281591372
2019-01,occ22_09,summary,,,,,retention_rate,0.9107250876327233
2019-01,occ22_09,summary,,,,,unemployment_entry_rate,0.007056032486566916
2019-01,occ22_10,matrix,nilf,98757.3076,6751942.4344,0.014626503196598403,,
2019-01,occ22_10,matrix,occ22_01,51623.228,6751942.4344,0.0076456854455672525,,
2019-01,occ22_10,matrix,occ22_02,12435.1665,6751942.4344,0.0018417169015904132,,
2019-01,occ22_10,matrix,occ22_03,7254.3159,6751942.4344,0.001074404287430013,,
2019-01,occ22_10,matrix,occ22_04,5716.8693,6751942.4344,0.0008466999467995346,,
2019-01,occ22_10,matrix,occ22_05,7053.5646,6751942.4344,0.001044671910125194,,
2019-01,occ22_10,matrix,occ22_06,7831.020999999999,6751942.4344,0.001159817500827951,,
2019-01,occ22_10,matrix,occ22_07,688.8839,6751942.4344,0.00010202751381443266,,
2019-01,occ22_10,matrix,occ22_08,9415.2605,6751942.4344,0.0013944521286246233,,
2019-01,occ22_10,matrix,occ22_09,9167.47,6751942.4344,0.0013577529857620374,,
2019-01,occ22_10,matrix,occ22_10,6337353.95,6751942.4344,0.9385971535705426,,
2019-01,occ22_10,matrix,occ22_11,48117.5858,6751942.4344,0.007126480456179406,,
2019-01,occ22_10,matrix,occ22_13,4890.4675,6751942.4344,0.000724305271781332,,
2019-01,occ22_10,matrix,occ22_14,5868.3614,6751942.4344,0.000869136764274188,,
2019-01,occ22_10,matrix,occ22_15,40228.1057,6751942.4344,0.005958004839473251,,
2019-01,occ22_10,matrix,occ22_16,16791.8728,6751942.4344,0.0024869691889623144,,
2019-01,occ22_10,matrix,occ22_17,30748.6283,6751942.4344,0.004554041832960685,,
2019-01,occ22_10,matrix,occ22_19,3924.9225,6751942.4344,0.0005813027196445258,,
2019-01,occ22_10,matrix,occ22_21,5428.7697,6751942.4344,0.0008040308033939005,,
2019-01,occ22_10,matrix,occ22_22,13164.8548,6751942.4344,0.0019497877726159661,,
2019-01,occ22_10,matrix,unemployed,35481.8286,6751942.4344,0.005255054963031988,,
2019-01,occ22_10,summary,,,,,nilf_entry_rate,0.014626503196598403
2019-01,occ22_10,summary,,,,,occ_switch_rate,0.04152128826982702
2019-01,occ22_10,summary,,,,,retention_rate,0.9385971535705426
2019-01,occ22_10,summary,,,,,unemployment_entry_rate,0.005255054963031988
2019-01,occ22_11,matrix,nilf,83898.383,2476940.1625,0.03387178433705905,,
2019-01,occ22_11,matrix,occ22_01,10004.1436,2476940.1625,0.004038912102706074,,
2019-01,occ22_11,matrix,occ22_02,4564.7684,2476940.1625,0.0018429062070650646,,
2019-01,occ22_11,matrix,occ22_05,4792.3413,2476940.1625,0.0019347828310729326,,
2019-01,occ22_11,matrix,occ22_08,10517.9319,2476940.1625,0.0042463407308895775,,
2019-01,occ22_11,matrix,occ22_10,54699.7398,2476940.1625,0.02208359355148532,,
2019-01,occ22_11,matrix,occ22_11,2180523.527,2476940.1625,0.8803295130065539,,
2019-01,occ22_11,matrix,occ22_12,633.0315,2476940.1625,0.0002555699607055001,,
2019-01,occ22_11,matrix,occ22_13,9522.4862,2476940.1625,0.003844455487527345,,
2019-01,occ22_11,matrix,occ22_14,2719.6508,2476940.1625,0.00109798809078013,,
2019-01,occ22_11,matrix,occ22_15,46752.2495,2476940.1625,0.01887500158777049,,
2019-01,occ22_11,matrix,occ22_16,2588.2837,2476940.1625,0.0010449520497853367,,
2019-01,occ22_11,matrix,occ22_17,31568.267,2476940.1625,0.01274486460267891,,
2019-01,occ22_11,matrix,occ22_20,6892.7054,2476940.1625,0.0027827500657275164,,
2019-01,occ22_11,matrix,unemployed,27262.6534,2476940.1625,0.011006585388192639,,
2019-01,occ22_11,summary,,,,,nilf_entry_rate,0.03387178433705905
2019-01,occ22_11,summary,,,,,occ_switch_rate,0.0747921172681942
2019-01,occ22_11,summary,,,,,retention_rate,0.8803295130065539
2019-01,occ22_11,summary,,,,,unemployment_entry_rate,0.011006585388192639
2019-01,occ22_12,matrix,nilf,55618.5104,2086183.8117999998,0.026660407431697626,,
2019-01,occ22_12,matrix,occ22_01,9652.9869,2086183.8117999998,0.004627102772727977,,
2019-01,occ22_12,matrix,occ22_03,3602.3887,2086183.8117999998,0.0017267839389913534,,
2019-01,occ22_12,matrix,occ22_05,3488.5537,2086183.8117999998,0.0016722177980041022,,
2019-01,occ22_12,matrix,occ22_06,5043.3553,2086183.8117999998,0.002417502844894811,,
2019-01,occ22_12,matrix,occ22_07,4929.4637,2086183.8117999998,0.0023629095730288326,,
2019-01,occ22_12,matrix,occ22_09,3000.6536,2086183.8117999998,0.0014383457406904993,,
2019-01,occ22_12,matrix,occ22_10,425.0528,2086183.8117999998,0.00020374657189639307,,
2019-01,occ22_12,matrix,occ22_12,1930136.3371,2086183.8117999998,0.9251995563299098,,
2019-01,occ22_12,matrix,occ22_14,7085.702,2086183.8117999998,0.003396489781926895,,
2019-01,occ22_12,matrix,occ22_15,3272.797,2086183.8117999998,0.0015687960866574682,,
2019-01,occ22_12,matrix,occ22_16,5006.0595,2086183.8117999998,0.0023996253214527033,,
2019-01,occ22_12,matrix,occ22_17,8057.9553,2086183.8117999998,0.0038625337107986856,,
2019-01,occ22_12,matrix,occ22_19,1611.9286,2086183.8117999998,0.0007726685399831555,,
2019-01,occ22_12,matrix,occ22_20,8598.4741,2086183.8117999998,0.0041216282339862804,,
2019-01,occ22_12,matrix,occ22_21,4306.7671,2086183.8117999998,0.002064423602388151,,
2019-01,occ22_12,matrix,occ22_22,883.7275,2086183.8117999998,0.0004236096047727946,,
2019-01,occ22_12,matrix,unemployed,31463.0985,2086183.8117999998,0.0150816521161925,,
2019-01,occ22_12,summary,,,,,nilf_entry_rate,0.026660407431697626
2019-01,occ22_12,summary,,,,,occ_switch_rate,0.0330583841222001
2019-01,occ22_12,summary,,,,,retention_rate,0.9251995563299098
2019-01,occ22_12,summary,,,,,unemployment_entry_rate,0.0150816521161925
2019-01,occ22_13,matrix,nilf,252211.8864,5359807.834400001,0.047056143464933316,,
2019-01,occ22_13,matrix,occ22_01,38839.8408,5359807.834400001,0.007246498755183056,,
2019-01,occ22_13,matrix,occ22_02,13151.0265,5359807.834400001,0.0024536376874549235,,
2019-01,occ22_13,matrix,occ22_06,8560.845000000001,5359807.834400001,0.0015972298381772745,,
2019-01,occ22_13,matrix,occ22_08,11279.3547,5359807.834400001,0.002104432667829528,,
2019-01,occ22_13,matrix,occ22_09,7165.4908,5359807.834400001,0.0013368932285241406,,
2019-01,occ22_13,matrix,occ22_10,13381.8034,5359807.834400001,0.0024966946229142213,,
2019-01,occ22_13,matrix,occ22_11,8851.4532,5359807.834400001,0.0016514497298186937,,
2019-01,occ22_13,matrix,occ22_12,4673.0929,5359807.834400001,0.0008718769486486869,,
2019-01,occ22_13,matrix,occ22_13,4718755.1324000005,5359807.834400001,0.8803963272926253,,
2019-01,occ22_13,matrix,occ22_14,6644.573899999999,5359807.834400001,0.0012397037553014848,,
2019-01,occ22_13,matrix,occ22_15,22968.6626,5359807.834400001,0.004285351883808948,,
2019-01,occ22_13,matrix,occ22_16,80591.8,5359807.834400001,0.01503632266118768,,
2019-01,occ22_13,matrix,occ22_17,20923.1814,5359807.834400001,0.0039037185747056225,,
2019-01,occ22_13,matrix,occ22_18,1040.9645,5359807.834400001,0.00019421675779473724,,
2019-01,occ22_13,matrix,occ22_19,11763.8756,5359807.834400001,0.00219483159909163,,
2019-01,occ22_13,matrix,occ22_20,3608.9624,5359807.834400001,0.0006733380209710451,,
