quarter,sector6_code,sector6_label,gross_job_gains_rate,gross_job_losses_rate,openings_rate,closings_rate,gains_series_id,losses_series_id,openings_series_id,closings_series_id
2023-Q3,INF,Information,4.6,6.7,1.3,1.3,BDS0000000000200050110001RQ5,BDS0000000000200050110004RQ5,BDS0000000000200050110003RQ5,BDS0000000000200050110006RQ5
2023-Q3,FAS,Financial activities,4.5,4.8,1.1,1.2,BDS0000000000200060110001RQ5,BDS0000000000200060110004RQ5,BDS0000000000200060110003RQ5,BDS0000000000200060110006RQ5
2023-Q3,PBS,Professional and business services,6.3,6.8,1.4,1.5,BDS0000000000200070110001RQ5,BDS0000000000200070110004RQ5,BDS0000000000200070110003RQ5,BDS0000000000200070110006RQ5
2023-Q3,HCS,Health care and social assistance,5.1,3.9,1.0,0.9,BDS0000000000200080110001RQ5,BDS0000000000200080110004RQ5,BDS0000000000200080110003RQ5,BDS0000000000200080110006RQ5
2023-Q3,RET,Retail trade,5.4,5.7,0.8,0.8,BDS0000000000200020110001RQ5,BDS0000000000200020110004RQ5,BDS0000000000200020110003RQ5,BDS0000000000200020110006RQ5
2023-Q4,MFG,Manufacturing,3.3,3.4,0.4,0.4,BDS0000000000100030110001RQ5,BDS0000000000100030110004RQ5,BDS0000000000100030110003RQ5,BDS0000000000100030110006RQ5
2023-Q4,INF,Information,5.4,5.5,1.2,1.1,BDS0000000000200050110001RQ5,BDS0000000000200050110004RQ5,BDS0000000000200050110003RQ5,BDS0000000000200050110006RQ5
2023-Q4,FAS,Financial activities,4.6,4.9,1.2,1.2,BDS0000000000200060110001RQ5,BDS0000000000200060110004RQ5,BDS0000000000200060110003RQ5,BDS0000000000200060110006RQ5
2023-Q4,PBS,Professional and business services,6.3,6.9,1.5,1.5,BDS0000000000200070110001RQ5,BDS0000000000200070110004RQ5,BDS0000000000200070110003RQ5,BDS0000000000200070110006RQ5
2023-Q4,HCS,Health care and social assistance,4.8,4.2,1.0,1.1,BDS0000000000200080110001RQ5,BDS0000000000200080110004RQ5,BDS0000000000200080110003RQ5,BDS0000000000200080110006RQ5
2023-Q4,RET,Retail trade,5.0,5.7,0.8,0.8,BDS0000000000200020110001RQ5,BDS0000000000200020110004RQ5,BDS0000000000200020110003RQ5,BDS0000000000200020110006RQ5
2024-Q1,MFG,Manufacturing,3.3,3.2,0.4,0.4,BDS0000000000100030110001RQ5,BDS0000000000100030110004RQ5,BDS0000000000100030110003RQ5,BDS0000000000100030110006RQ5
2024-Q1,INF,Information,5.2,4.8,1.0,1.0,BDS0000000000200050110001RQ5,BDS0000000000200050110004RQ5,BDS0000000000200050110003RQ5,BDS0000000000200050110006RQ5
2024-Q1,FAS,Financial activities,4.3,4.5,1.0,1.1,BDS0000000000200060110001RQ5,BDS0000000000200060110004RQ5,BDS0000000000200060110003RQ5,BDS0000000000200060110006RQ5
2024-Q1,PBS,Professional and business services,6.4,6.1,1.4,1.4,BDS0000000000200070110001RQ5,BDS0000000000200070110004RQ5,BDS0000000000200070110003RQ5,BDS0000000000200070110006RQ5
2024-Q1,HCS,Health care and social assistance,5.0,3.7,1.0,0.8,BDS0000000000200080110001RQ5,BDS0000000000200080110004RQ5,BDS0000000000200080110003RQ5,BDS0000000000200080110006RQ5
2024-Q1,RET,Retail trade,5.4,4.7,0.8,0.7,BDS0000000000200020110001RQ5,BDS0000000000200020110004RQ5,BDS0000000000200020110003RQ5,BDS0000000000200020110006RQ5
2024-Q2,MFG,Manufacturing,3.2,3.3,0.4,0.4,BDS0000000000100030110001RQ5,BDS0000000000100030110004RQ5,BDS0000000000100030110003RQ5,BDS0000000000100030110006RQ5
2024-Q2,INF,Information,4.6,6.0,1.1,1.3,BDS0000000000200050110001RQ5,BDS0000000000200050110004RQ5,BDS0000000000200050110003RQ5,BDS0000000000200050110006RQ5
2024-Q2,FAS,Financial activities,4.6,4.4,1.1,1.2,BDS0000000000200060110001RQ5,BDS0000000000200060110004RQ5,BDS0000000000200060110003RQ5,BDS0000000000200060110006RQ5
2024-Q2,PBS,Professional and business services,6.5,6.7,1.5,1.4,BDS0000000000200070110001RQ5,BDS0000000000200070110004RQ5,BDS0000000000200070110003RQ5,BDS0000000000200070110006RQ5
2024-Q2,HCS,Health care and social assistance,4.9,4.2,1.0,1.0,BDS0000000000200080110001RQ5,BDS0000000000200080110004RQ5,BDS0000000000200080110003RQ5,BDS0000000000200080110006RQ5
2024-Q2,RET,Retail trade,5.2,5.6,0.8,0.8,BDS0000000000200020110001RQ5,BDS0000000000200020110004RQ5,BDS0000000000200020110003RQ5,BDS0000000000200020110006RQ5
2024-Q3,MFG,Manufacturing,3.0,3.6,0.4,0.5,BDS0000000000100030110001RQ5,BDS0000000000100030110004RQ5,BDS0000000000100030110003RQ5,BDS0000000000100030110006RQ5
2024-Q3,INF,Information,4.9,5.3,1.1,1.2,BDS0000000000200050110001RQ5,BDS0000000000200050110004RQ5,BDS0000000000200050110003RQ5,BDS0000000000200050110006RQ5
2024-Q3,FAS,Financial activities,4.6,4.6,1.1,1.1,BDS0000000000200060110001RQ5,BDS0000000000200060110004RQ5,BDS0000000000200060110003RQ5,BDS0000000000200060110006RQ5
2024-Q3,PBS,Professional and business services,6.5,6.6,1.4,1.5,BDS0000000000200070110001RQ5,BDS0000000000200070110004RQ5,BDS0000000000200070110003RQ5,BDS0000000000200070110006RQ5
2024-Q3,HCS,Health care and social assistance,4.9,3.9,0.9,0.9,BDS0000000000200080110001RQ5,BDS0000000000200080110004RQ5,BDS0000000000200080110003RQ5,BDS0000000000200080110006RQ5
2024-Q3,RET,Retail trade,5.2,5.5,0.7,0.7,BDS0000000000200020110001RQ5,BDS0000000000200020110004RQ5,BDS0000000000200020110003RQ5,BDS0000000000200020110006RQ5
2024-Q4,MFG,Manufacturing,3.0,3.4,0.4,0.4,BDS0000000000100030110001RQ5,BDS0000000000100030110004RQ5,BDS0000000000100030110003RQ5,BDS0000000000100030110006RQ5
2024-Q4,INF,Information,4.8,5.7,1.1,1.3,BDS0000000000200050110001RQ5,BDS0000000000200050110004RQ5,BDS0000000000200050110003RQ5,BDS0000000000200050110006RQ5
2024-Q4,FAS,Financial activities,4.5,4.5,1.3,1.2,BDS0000000000200060110001RQ5,BDS0000000000200060110004RQ5,BDS0000000000200060110003RQ5,BDS0000000000200060110006RQ5
2024-Q4,PBS,Professional and business services,6.3,6.9,1.5,1.6,BDS0000000000200070110001RQ5,BDS0000000000200070110004RQ5,BDS0000000000200070110003RQ5,BDS0000000000200070110006RQ5
2024-Q4,HCS,Health care and social assistance,4.9,4.1,1.1,1.0,BDS0000000000200080110001RQ5,BDS0000000000200080110004RQ5,BDS0000000000200080110003RQ5,BDS0000000000200080110006RQ5
2024-Q4,RET,Retail trade,4.8,5.7,0.7,0.8,BDS0000000000200020110001RQ5,BDS0000000000200020110004RQ5,BDS0000000000200020110003RQ5,BDS0000000000200020110006RQ5
2025-Q1,MFG,Manufacturing,2.9,3.2,0.3,0.4,BDS0000000000100030110001RQ5,BDS0000000000100030110004RQ5,BDS0000000000100030110003RQ5,BDS0000000000100030110006RQ5
2025-Q1,INF,Information,4.2,5.5,0.9,1.0,BDS0000000000200050110001RQ5,BDS0000000000200050110004RQ5,BDS0000000000200050110003RQ5,BDS0000000000200050110006RQ5
2025-Q1,FAS,Financial activities,4.2,4.2,0.9,1.1,BDS0000000000200060110001RQ5,BDS0000000000200060110004RQ5,BDS0000000000200060110003RQ5,BDS0000000000200060110006RQ5
2025-Q1,PBS,Professional and business services,6.0,6.1,1.3,1.4,BDS0000000000200070110001RQ5,BDS0000000000200070110004RQ5,BDS0000000000200070110003RQ5,BDS0000000000200070110006RQ5
2025-Q1,HCS,Health care and social assistance,4.5,3.8,0.9,0.8,BDS0000000000200080110001RQ5,BDS0000000000200080110004RQ5,BDS0000000000200080110003RQ5,BDS0000000000200080110006RQ5
2025-Q1,RET,Retail trade,5.4,4.6,0.7,0.7,BDS0000000000200020110001RQ5,BDS0000000000200020110004RQ5,BDS0000000000200020110003RQ5,BDS0000000000200020110006RQ5
2025-Q2,MFG,Manufacturing,2.9,3.5,0.3,0.5,BDS0000000000100030110001RQ5,BDS0000000000100030110004RQ5,BDS0000000000100030110003RQ5,BDS0000000000100030110006RQ5
2025-Q2,INF,Information,5.0,5.8,0.9,1.7,BDS0000000000200050110001RQ5,BDS0000000000200050110004RQ5,BDS0000000000200050110003RQ5,BDS0000000000200050110006RQ5
2025-Q2,FAS,Financial activities,4.7,4.6,1.1,1.2,BDS0000000000200060110001RQ5,BDS0000000000200060110004RQ5,BDS0000000000200060110003RQ5,BDS0000000000200060110006RQ5
2025-Q2,PBS,Professional and business services,6.5,6.7,1.4,1.4,BDS0000000000200070110001RQ5,BDS0000000000200070110004RQ5,BDS0000000000200070110003RQ5,BDS0000000000200070110006RQ5
2025-Q2,HCS,Health care and social assistance,4.6,4.5,0.9,1.0,BDS0000000000200080110001RQ5,BDS0000000000200080110004RQ5,BDS0000000000200080110003RQ5,BDS0000000000200080110006RQ5
2025-Q2,RET,Retail trade,5.0,5.9,0.7,0.9,BDS0000000000200020110001RQ5,BDS0000000000200020110004RQ5,BDS0000000000200020110003RQ5,BDS0000000000200020110006RQ5
