month,origin_state,destination_state,weighted_transition_count
2019-01,occ22_20,occ22_21,16327.9877
2019-01,occ22_20,occ22_22,37413.7949
2019-01,occ22_20,unemployed,40044.4825
2019-01,occ22_21,nilf,179443.2117
2019-01,occ22_21,occ22_01,49345.111
2019-01,occ22_21,occ22_02,11672.1061
2019-01,occ22_21,occ22_03,4170.5066
2019-01,occ22_21,occ22_04,12574.7414
2019-01,occ22_21,occ22_05,4221.1322
2019-01,occ22_21,occ22_08,3316.1708
2019-01,occ22_21,occ22_10,1108.596
2019-01,occ22_21,occ22_11,7577.373
2019-01,occ22_21,occ22_12,13713.9983
2019-01,occ22_21,occ22_13,17839.3702
2019-01,occ22_21,occ22_14,11910.8641
2019-01,occ22_21,occ22_15,11825.1629
2019-01,occ22_21,occ22_16,33678.6097
2019-01,occ22_21,occ22_17,20244.5103
2019-01,occ22_21,occ22_18,1676.602
2019-01,occ22_21,occ22_19,40755.9593
2019-01,occ22_21,occ22_20,15108.5863
2019-01,occ22_21,occ22_21,5191031.7447
2019-01,occ22_21,occ22_22,40429.7473
2019-01,occ22_21,unemployed,71122.18029999999
2019-01,occ22_22,nilf,292250.4284
2019-01,occ22_22,occ22_01,30162.5664
2019-01,occ22_22,occ22_02,507.9323
2019-01,occ22_22,occ22_03,10796.604500000001
2019-01,occ22_22,occ22_04,14003.774300000001
2019-01,occ22_22,occ22_06,5263.5321
2019-01,occ22_22,occ22_07,10214.657500000001
2019-01,occ22_22,occ22_08,4386.5809
2019-01,occ22_22,occ22_09,7948.962100000001
2019-01,occ22_22,occ22_11,8371.6115
2019-01,occ22_22,occ22_12,9457.9601
2019-01,occ22_22,occ22_13,26267.8447
2019-01,occ22_22,occ22_14,16573.6707
2019-01,occ22_22,occ22_15,12063.0105
2019-01,occ22_22,occ22_16,42877.1011
2019-01,occ22_22,occ22_17,58266.716
2019-01,occ22_22,occ22_18,10057.154999999999
2019-01,occ22_22,occ22_19,39898.4241
2019-01,occ22_22,occ22_20,24392.256699999998
2019-01,occ22_22,occ22_21,74616.3285
2019-01,occ22_22,occ22_22,5773340.3495
2019-01,occ22_22,unemployed,120474.7576
2019-01,unemployed,nilf,1292274.1588
2019-01,unemployed,occ22_01,46302.6719
2019-01,unemployed,occ22_02,82612.622
2019-01,unemployed,occ22_03,36298.7685
2019-01,unemployed,occ22_04,19278.7045
2019-01,unemployed,occ22_05,15651.688699999999
2019-01,unemployed,occ22_06,10004.5153
2019-01,unemployed,occ22_07,11809.0268
2019-01,unemployed,occ22_08,56317.6764
2019-01,unemployed,occ22_09,45057.5044
2019-01,unemployed,occ22_10,67377.2122
2019-01,unemployed,occ22_11,5545.6033
2019-01,unemployed,occ22_12,19057.7825
2019-01,unemployed,occ22_13,119910.8909
2019-01,unemployed,occ22_14,80533.758
2019-01,unemployed,occ22_15,43776.4185
2019-01,unemployed,occ22_16,105547.1862
2019-01,unemployed,occ22_17,143310.4919
2019-01,unemployed,occ22_18,43119.9838
2019-01,unemployed,occ22_19,151323.7047
2019-01,unemployed,occ22_20,39785.706999999995
2019-01,unemployed,occ22_21,103036.6053
2019-01,unemployed,occ22_22,127839.0485
2019-01,unemployed,unemployed,2255107.2369
2019-02,nilf,nilf,63095440.019
2019-02,nilf,occ22_01,206585.8513
2019-02,nilf,occ22_02,86418.7334
2019-02,nilf,occ22_03,33148.3894
2019-02,nilf,occ22_04,39591.1543
2019-02,nilf,occ22_05,7467.7623
