month,sector6_code,sector6_label,ces_payroll_employment_thousands,index_aug2023_100,series_id
2021-12,HCS,Health care and social assistance,23886.0,93.50923896022549,CES6500000001
2021-12,RET,Retail trade,15421.7,99.2949675491913,CES4200000001
2022-01,MFG,Manufacturing,12564.0,97.69069279216235,CES3000000001
2022-01,INF,Information,2984.0,100.10063737001008,CES5000000001
2022-01,FAS,Financial activities,8934.0,97.18263896442946,CES5500000001
2022-01,PBS,Professional and business services,22183.0,97.43060435699226,CES6000000001
2022-01,HCS,Health care and social assistance,23869.0,93.4426871280927,CES6500000001
2022-01,RET,Retail trade,15428.6,99.33939425157104,CES4200000001
2022-02,MFG,Manufacturing,12601.0,97.97838426249903,CES3000000001
2022-02,INF,Information,2990.0,100.30191211003019,CES5000000001
2022-02,FAS,Financial activities,8976.0,97.639508321549,CES5500000001
2022-02,PBS,Professional and business services,22372.0,98.26071679550246,CES6000000001
2022-02,HCS,Health care and social assistance,23984.0,93.89289069840275,CES6500000001
2022-02,RET,Retail trade,15537.4,100.03991964561656,CES4200000001
2022-03,MFG,Manufacturing,12674.0,98.54599175802815,CES3000000001
2022-03,INF,Information,3018.0,101.24119423012412,CES5000000001
2022-03,FAS,Financial activities,9002.0,97.92233220928968,CES5500000001
2022-03,PBS,Professional and business services,22483.0,98.74824314827828,CES6000000001
2022-03,HCS,Health care and social assistance,24057.0,94.17867209520827,CES6500000001
2022-03,RET,Retail trade,15537.1,100.03798804986093,CES4200000001
2022-04,MFG,Manufacturing,12726.0,98.95031490552833,CES3000000001
2022-04,INF,Information,3034.0,101.7779268701778,CES5000000001
2022-04,FAS,Financial activities,9037.0,98.30305667355597,CES5500000001
2022-04,PBS,Professional and business services,22468.0,98.68236120871398,CES6000000001
2022-04,HCS,Health care and social assistance,24117.0,94.41356091450047,CES6500000001
2022-04,RET,Retail trade,15488.0,99.7218502111878,CES4200000001
2022-05,MFG,Manufacturing,12735.0,99.02029391182646,CES3000000001
2022-05,INF,Information,3057.0,102.54948004025495,CES5000000001
2022-05,FAS,Financial activities,9049.0,98.43359077559012,CES5500000001
2022-05,PBS,Professional and business services,22503.0,98.83608573436402,CES6000000001
2022-05,HCS,Health care and social assistance,24176.0,94.6445349201378,CES6500000001
2022-05,RET,Retail trade,15418.7,99.27565159163491,CES4200000001
2022-06,MFG,Manufacturing,12767.0,99.26910815644196,CES3000000001
2022-06,INF,Information,3076.0,103.1868500503187,CES5000000001
2022-06,FAS,Financial activities,9059.0,98.54236919395191,CES5500000001
2022-06,PBS,Professional and business services,22564.0,99.10400562192551,CES6000000001
2022-06,HCS,Health care and social assistance,24267.0,95.00078296273098,CES6500000001
2022-06,RET,Retail trade,15464.6,99.57118574224786,CES4200000001
2022-07,MFG,Manufacturing,12800.0,99.5256978462017,CES3000000001
2022-07,INF,Information,3094.0,103.79067427037907,CES5000000001
2022-07,FAS,Financial activities,9073.0,98.69465897965843,CES5500000001
2022-07,PBS,Professional and business services,22658.0,99.51686577652846,CES6000000001
2022-07,HCS,Health care and social assistance,24395.0,95.50187911055433,CES6500000001
2022-07,RET,Retail trade,15490.6,99.73859070773669,CES4200000001
2022-08,MFG,Manufacturing,12832.0,99.7745120908172,CES3000000001
2022-08,INF,Information,3097.0,103.89131164038913,CES5000000001
2022-08,FAS,Financial activities,9092.0,98.90133797454585,CES5500000001
2022-08,PBS,Professional and business services,22697.0,99.68815881939564,CES6000000001
2022-08,HCS,Health care and social assistance,24468.0,95.78766050735985,CES6500000001
2022-08,RET,Retail trade,15521.8,99.93947666632326,CES4200000001
2022-09,MFG,Manufacturing,12849.0,99.90669465826919,CES3000000001
2022-09,INF,Information,3095.0,103.82422006038243,CES5000000001
2022-09,FAS,Financial activities,9097.0,98.95572718372675,CES5500000001
2022-09,PBS,Professional and business services,22744.0,99.89458889669713,CES6000000001
2022-09,HCS,Health care and social assistance,24552.0,96.11650485436894,CES6500000001
2022-09,RET,Retail trade,15498.2,99.78752446687957,CES4200000001
2022-10,MFG,Manufacturing,12883.0,100.17105979317316,CES3000000001
2022-10,INF,Information,3100.0,103.99194901039918,CES5000000001
2022-10,FAS,Financial activities,9122.0,99.22767322963124,CES5500000001
2022-10,PBS,Professional and business services,22783.0,100.06588193956429,CES6000000001
2022-10,HCS,Health care and social assistance,24642.0,96.46883808330725,CES6500000001
2022-10,RET,Retail trade,15512.0,99.87637787163902,CES4200000001
2022-11,MFG,Manufacturing,12896.0,100.2721405800482,CES3000000001
2022-11,INF,Information,3115.0,104.49513586044952,CES5000000001
2022-11,FAS,Financial activities,9136.0,99.37996301533775,CES5500000001
2022-11,PBS,Professional and business services,22792.0,100.10541110330288,CES6000000001
2022-11,HCS,Health care and social assistance,24729.0,96.80942687128092,CES6500000001
2022-11,RET,Retail trade,15530.2,99.99356134748119,CES4200000001
2022-12,MFG,Manufacturing,12895.0,100.26436513490398,CES3000000001
2022-12,INF,Information,3092.0,103.72358269037237,CES5000000001
2022-12,FAS,Financial activities,9146.0,99.48874143369956,CES5500000001
2022-12,PBS,Professional and business services,22774.0,100.02635277582573,CES6000000001
2022-12,HCS,Health care and social assistance,24773.0,96.9816786720952,CES6500000001
2022-12,RET,Retail trade,15533.9,100.01738436180077,CES4200000001
2023-01,MFG,Manufacturing,12903.0,100.32656869605785,CES3000000001
2023-01,INF,Information,3061.0,102.68366320026836,CES5000000001
2023-01,FAS,Financial activities,9144.0,99.46698575002719,CES5500000001
2023-01,PBS,Professional and business services,22791.0,100.10101897399859,CES6000000001
2023-01,HCS,Health care and social assistance,24883.0,97.41230817413091,CES6500000001
2023-01,RET,Retail trade,15551.3,100.12941691562789,CES4200000001
2023-02,MFG,Manufacturing,12898.0,100.28769147033667,CES3000000001
2023-02,INF,Information,3048.0,102.24756793022476,CES5000000001
2023-02,FAS,Financial activities,9152.0,99.55400848471663,CES5500000001
2023-02,PBS,Professional and business services,22837.0,100.30305692199579,CES6000000001
2023-02,HCS,Health care and social assistance,24956.0,97.69808957093642,CES6500000001
2023-02,RET,Retail trade,15602.6,100.45971978984238,CES4200000001
2023-03,MFG,Manufacturing,12888.0,100.20993701889434,CES3000000001
2023-03,INF,Information,3049.0,102.2811137202281,CES5000000001
2023-03,FAS,Financial activities,9150.0,99.53225280104428,CES5500000001
2023-03,PBS,Professional and business services,22832.0,100.28109627547434,CES6000000001
2023-03,HCS,Health care and social assistance,25033.0,97.99953022236141,CES6500000001
2023-03,RET,Retail trade,15562.8,100.2034614195941,CES4200000001
2023-04,MFG,Manufacturing,12884.0,100.17883523831739,CES3000000001
2023-04,INF,Information,3043.0,102.07983898020798,CES5000000001
2023-04,FAS,Financial activities,9180.0,99.85858805612966,CES5500000001
2023-04,PBS,Professional and business services,22837.0,100.30305692199579,CES6000000001
2023-04,HCS,Health care and social assistance,25113.0,98.31271531475102,CES6500000001
2023-04,RET,Retail trade,15556.0,100.15967858246626,CES4200000001
2023-05,MFG,Manufacturing,12869.0,100.06220356115388,CES3000000001
2023-05,INF,Information,3034.0,101.7779268701778,CES5000000001
2023-05,FAS,Financial activities,9175.0,99.80419884694876,CES5500000001
2023-05,PBS,Professional and business services,22850.0,100.36015460295151,CES6000000001
2023-05,HCS,Health care and social assistance,25221.0,98.73551518947698,CES6500000001
2023-05,RET,Retail trade,15555.9,100.15903471721437,CES4200000001
2023-06,MFG,Manufacturing,12875.0,100.10885623201928,CES3000000001
2023-06,INF,Information,3021.0,101.34183160013419,CES5000000001
2023-06,FAS,Financial activities,9182.0,99.88034373980203,CES5500000001
2023-06,PBS,Professional and business services,22826.0,100.25474349964863,CES6000000001
2023-06,HCS,Health care and social assistance,25314.0,99.0995928593799,CES6500000001
2023-06,RET,Retail trade,15533.2,100.0128773050376,CES4200000001
2023-07,MFG,Manufacturing,12862.0,100.00777544514423,CES3000000001
2023-07,INF,Information,3001.0,100.67091580006708,CES5000000001
2023-07,FAS,Financial activities,9193.0,100.0,CES5500000001
2023-07,PBS,Professional and business services,22779.0,100.04831342234715,CES6000000001
2023-07,HCS,Health care and social assistance,25435.0,99.57328531161916,CES6500000001
2023-07,RET,Retail trade,15539.5,100.05344081590604,CES4200000001
2023-08,MFG,Manufacturing,12861.0,100.0,CES3000000001
2023-08,INF,Information,2981.0,100.0,CES5000000001
2023-08,FAS,Financial activities,9193.0,100.0,CES5500000001
2023-08,PBS,Professional and business services,22768.0,100.0,CES6000000001
2023-08,HCS,Health care and social assistance,25544.0,100.0,CES6500000001
2023-08,RET,Retail trade,15531.2,100.0,CES4200000001
2023-09,MFG,Manufacturing,12872.0,100.08552989658659,CES3000000001
2023-09,INF,Information,2975.0,99.79872525997988,CES5000000001
2023-09,FAS,Financial activities,9186.0,99.92385510714674,CES5500000001
2023-09,PBS,Professional and business services,22743.0,99.89019676739284,CES6000000001
2023-09,HCS,Health care and social assistance,25641.0,100.3797369245224,CES6500000001
2023-09,RET,Retail trade,15531.3,100.00064386525187,CES4200000001
2023-10,MFG,Manufacturing,12837.0,99.81338931653838,CES3000000001
2023-10,INF,Information,2951.0,98.99362629989936,CES5000000001
2023-10,FAS,Financial activities,9179.0,99.84771021429349,CES5500000001
2023-10,PBS,Professional and business services,22715.0,99.7672171468728,CES6000000001
2023-10,HCS,Health care and social assistance,25735.0,100.74772940808016,CES6500000001
2023-10,RET,Retail trade,15543.9,100.08177088698878,CES4200000001
2023-11,MFG,Manufacturing,12859.0,99.98444910971152,CES3000000001
2023-11,INF,Information,2962.0,99.36262998993625,CES5000000001
2023-11,FAS,Financial activities,9172.0,99.77156532144022,CES5500000001
2023-11,PBS,Professional and business services,22661.0,99.53004216444133,CES6000000001
2023-11,HCS,Health care and social assistance,25853.0,101.20967741935485,CES6500000001
2023-11,RET,Retail trade,15511.3,99.87187081487585,CES4200000001
2023-12,MFG,Manufacturing,12872.0,100.08552989658659,CES3000000001
2023-12,INF,Information,2963.0,99.39617577993963,CES5000000001
2023-12,FAS,Financial activities,9176.0,99.81507668878494,CES5500000001
2023-12,PBS,Professional and business services,22643.0,99.45098383696416,CES6000000001
2023-12,HCS,Health care and social assistance,25935.0,101.5306921390542,CES6500000001
2023-12,RET,Retail trade,15550.9,100.12684145462036,CES4200000001
2024-01,MFG,Manufacturing,12875.0,100.10885623201928,CES3000000001
2024-01,INF,Information,2963.0,99.39617577993963,CES5000000001
2024-01,FAS,Financial activities,9165.0,99.69542042858697,CES5500000001
2024-01,PBS,Professional and business services,22668.0,99.56078706957133,CES6000000001
2024-01,HCS,Health care and social assistance,26033.0,101.91434387723145,CES6500000001
2024-01,RET,Retail trade,15524.0,99.95364170186463,CES4200000001
2024-02,MFG,Manufacturing,12852.0,99.93002099370189,CES3000000001
2024-02,INF,Information,2958.0,99.22844682992285,CES5000000001
2024-02,FAS,Financial activities,9151.0,99.54313064288046,CES5500000001
2024-02,PBS,Professional and business services,22658.0,99.51686577652846,CES6000000001
2024-02,HCS,Health care and social assistance,26130.0,102.29408080175384,CES6500000001
2024-02,RET,Retail trade,15528.5,99.98261563819923,CES4200000001
2024-03,MFG,Manufacturing,12836.0,99.80561387139414,CES3000000001
2024-03,INF,Information,2951.0,98.99362629989936,CES5000000001
2024-03,FAS,Financial activities,9149.0,99.5213749592081,CES5500000001
2024-03,PBS,Professional and business services,22631.0,99.39827828531273,CES6000000001
2024-03,HCS,Health care and social assistance,26225.0,102.6659880989665,CES6500000001
2024-03,RET,Retail trade,15529.3,99.98776656021427,CES4200000001
2024-04,MFG,Manufacturing,12833.0,99.78228753596143,CES3000000001
2024-04,INF,Information,2940.0,98.62462260986247,CES5000000001
2024-04,FAS,Financial activities,9144.0,99.46698575002719,CES5500000001
2024-04,PBS,Professional and business services,22616.0,99.33239634574842,CES6000000001
2024-04,HCS,Health care and social assistance,26313.0,103.01049170059504,CES6500000001
2024-04,RET,Retail trade,15531.2,100.0,CES4200000001
2024-05,MFG,Manufacturing,12825.0,99.72008397480757,CES3000000001
2024-05,INF,Information,2930.0,98.28916470982891,CES5000000001
2024-05,FAS,Financial activities,9147.0,99.49961927553574,CES5500000001
2024-05,PBS,Professional and business services,22633.0,99.4070625439213,CES6000000001
2024-05,HCS,Health care and social assistance,26383.0,103.28452865643595,CES6500000001
2024-05,RET,Retail trade,15536.0,100.03090553209024,CES4200000001
2024-06,MFG,Manufacturing,12814.0,99.63455407822099,CES3000000001
2024-06,INF,Information,2930.0,98.28916470982891,CES5000000001
2024-06,FAS,Financial activities,9159.0,99.63015337756988,CES5500000001
2024-06,PBS,Professional and business services,22606.0,99.28847505270555,CES6000000001
2024-06,HCS,Health care and social assistance,26474.0,103.64077669902913,CES6500000001
2024-06,RET,Retail trade,15499.9,99.79847017616153,CES4200000001
